Time,IPAddress,Value,Type,Critic,Observe
27:51,fd00::c30c:0:0:1,42.0,temperature,1,8388608
27:53,fd00::c30c:0:0:1,43.0,temperature,1,31
27:55,fd00::c30c:0:0:1,42.0,temperature,1,32
27:57,fd00::c30c:0:0:1,41.0,temperature,1,33
27:59,fd00::c30c:0:0:1,40.0,temperature,1,34
28:1,fd00::c30c:0:0:1,41.0,temperature,1,35
28:5,fd00::c30c:0:0:1,43.0,temperature,1,37
28:7,fd00::c30c:0:0:1,42.0,temperature,1,38
28:9,fd00::c30c:0:0:1,41.0,temperature,1,39
28:11,fd00::c30c:0:0:1,40.0,temperature,1,40
28:13,fd00::c30c:0:0:1,41.0,temperature,1,41
28:15,fd00::c30c:0:0:1,42.0,temperature,1,42
28:17,fd00::c30c:0:0:1,43.0,temperature,1,43
28:19,fd00::c30c:0:0:1,42.0,temperature,1,44
28:21,fd00::c30c:0:0:1,41.0,temperature,1,45
28:23,fd00::c30c:0:0:1,40.0,temperature,1,46
28:25,fd00::c30c:0:0:1,41.0,temperature,1,47
28:27,fd00::c30c:0:0:1,42.0,temperature,1,48
28:29,fd00::c30c:0:0:1,43.0,temperature,1,49
28:31,fd00::c30c:0:0:1,42.0,temperature,1,50
28:41,fd00::c30c:0:0:1,43.0,temperature,1,55
28:49,fd00::c30c:0:0:1,40.0,temperature,1,58
28:53,fd00::c30c:0:0:1,43.0,temperature,1,61
28:55,fd00::c30c:0:0:1,42.0,temperature,1,62
28:57,fd00::c30c:0:0:1,41.0,temperature,1,63
28:59,fd00::c30c:0:0:1,40.0,temperature,1,64
29:1,fd00::c30c:0:0:1,41.0,temperature,1,65
29:7,fd00::c30c:0:0:1,42.0,temperature,1,68
29:11,fd00::c30c:0:0:1,40.0,temperature,1,70
29:15,fd00::c30c:0:0:1,42.0,temperature,1,72
29:17,fd00::c30c:0:0:1,43.0,temperature,1,73
29:19,fd00::c30c:0:0:1,42.0,temperature,1,74
29:21,fd00::c30c:0:0:1,41.0,temperature,1,75
29:23,fd00::c30c:0:0:1,40.0,temperature,1,76
29:25,fd00::c30c:0:0:1,41.0,temperature,1,77
29:27,fd00::c30c:0:0:1,42.0,temperature,1,78
29:29,fd00::c30c:0:0:1,43.0,temperature,1,79
29:33,fd00::c30c:0:0:1,41.0,temperature,1,81
29:35,fd00::c30c:0:0:1,40.0,temperature,1,82
29:41,fd00::c30c:0:0:1,43.0,temperature,1,85
29:45,fd00::c30c:0:0:1,41.0,temperature,1,87
29:47,fd00::c30c:0:0:1,40.0,temperature,1,88
29:49,fd00::c30c:0:0:1,41.0,temperature,1,89
29:51,fd00::c30c:0:0:1,42.0,temperature,1,90
29:53,fd00::c30c:0:0:1,43.0,temperature,1,91
29:55,fd00::c30c:0:0:1,42.0,temperature,1,92
29:59,fd00::c30c:0:0:1,40.0,temperature,1,94
30:3,fd00::c30c:0:0:1,42.0,temperature,1,96
30:5,fd00::c30c:0:0:1,43.0,temperature,1,97
30:9,fd00::c30c:0:0:1,41.0,temperature,1,99
30:11,fd00::c30c:0:0:1,40.0,temperature,1,100
30:13,fd00::c30c:0:0:1,41.0,temperature,1,101
30:15,fd00::c30c:0:0:1,42.0,temperature,1,102
30:17,fd00::c30c:0:0:1,43.0,temperature,1,103
30:19,fd00::c30c:0:0:1,42.0,temperature,1,104
30:21,fd00::c30c:0:0:1,41.0,temperature,1,105
30:23,fd00::c30c:0:0:1,40.0,temperature,1,106
30:25,fd00::c30c:0:0:1,41.0,temperature,1,107
30:29,fd00::c30c:0:0:1,43.0,temperature,1,109
30:31,fd00::c30c:0:0:1,42.0,temperature,1,110
30:33,fd00::c30c:0:0:1,41.0,temperature,1,111
30:35,fd00::c30c:0:0:1,40.0,temperature,1,112
30:37,fd00::c30c:0:0:1,41.0,temperature,1,113
30:39,fd00::c30c:0:0:1,42.0,temperature,1,114
30:43,fd00::c30c:0:0:1,42.0,temperature,1,116
30:45,fd00::c30c:0:0:1,41.0,temperature,1,117
30:47,fd00::c30c:0:0:1,40.0,temperature,1,118
30:51,fd00::c30c:0:0:1,41.0,temperature,1,119
30:53,fd00::c30c:0:0:1,43.0,temperature,1,121
30:55,fd00::c30c:0:0:1,42.0,temperature,1,122
30:59,fd00::c30c:0:0:1,40.0,temperature,1,124
31:4,fd00::c30c:0:0:1,42.0,temperature,1,126
31:5,fd00::c30c:0:0:1,43.0,temperature,1,127
